course_id,course_name
IDEPT4670,Computer Science
IDEPT5528,Data Science
IDEPT3115,Management Information Systems
IDEPT5881,Construction Management
IDEPT4938,Electrical Engineering
IDEPT1423,Human Computer Interaction
IDEPT4132,Civil Engineering
IDEPT2054,Mechanical Engineering
IDEPT2357,Robotics
IDEPT1537,Pharmacy
IDEPT8379,MEM | MIM | Tech Management | Project Management
IDEPT1825,Analytics (Business | Data | Marketing)
IDEPT8313,Chemical Engineering
IDEPT2425,Industrial Engineering & Operation Reserach
IDEPT1378,Supply Chain Management
IDEPT5127,Biomedical | Biotechnology
IDEPT7309,Finance | Financial Engineering
IDEPT3690,Architecture
IDEPT8635,Psychology
IDEPT6969,Machine Learning
